2013-12-09 21:31:19 configure libuuid1:amd64 2.20.1-5.3 2.20.1-5.3
2013-12-09 21:31:19 status unpacked libuuid1:amd64 2.20.1-5.3
2013-12-09 21:31:19 status half-configured libuuid1:amd64 2.20.1-5.3
2013-12-09 21:31:19 status installed libuuid1:amd64 2.20.1-5.3
2013-12-09 21:31:19 status triggers-pending libc-bin:amd64 2.17-97
2013-12-09 21:31:19 trigproc libc-bin:amd64 2.17-97 2.17-97
2013-12-09 21:31:19 status half-configured libc-bin:amd64 2.17-97
2013-12-09 21:31:19 status installed libc-bin:amd64 2.17-97
2013-12-09 21:33:47 startup archives install
2013-12-09 21:33:47 install libuuid1:i386 <none> 2.20.1-5.3
2013-12-09 21:33:47 status half-installed libuuid1:i386 2.20.1-5.3
2013-12-09 21:33:48 status unpacked libuuid1:i386 2.20.1-5.3
2013-12-09 21:33:48 status unpacked libuuid1:i386 2.20.1-5.3
2013-12-09 21:35:46 startup archives install
2013-12-09 21:35:47 install bind9-host:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:35:47 status half-installed bind9-host:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:35:47 status triggers-pending man-db:amd64 2.6.5-2
2013-12-09 21:35:47 status unpacked bind9-host:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:35:47 status unpacked bind9-host:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:35:47 trigproc man-db:amd64 2.6.5-2 2.6.5-2
2013-12-09 21:35:47 status half-configured man-db:amd64 2.6.5-2
2013-12-09 21:35:48 status installed man-db:amd64 2.6.5-2
2013-12-09 21:38:53 startup archives unpack
2013-12-09 21:38:53 install gcc-4.8-base:i386 <none> 4.8.2-8
2013-12-09 21:38:53 status half-installed gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:53 status unpacked gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:53 status unpacked gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:54 install libgcc1:i386 <none> 1:4.8.2-8
2013-12-09 21:38:54 status half-installed libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:54 status unpacked libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:54 status unpacked libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:54 install libc6:i386 <none> 2.17-97
2013-12-09 21:38:54 status half-installed libc6:i386 2.17-97
2013-12-09 21:38:56 status unpacked libc6:i386 2.17-97
2013-12-09 21:38:56 status unpacked libc6:i386 2.17-97
2013-12-09 21:38:56 upgrade libuuid1:i386 2.20.1-5.3 2.20.1-5.5
2013-12-09 21:38:56 status half-configured libuuid1:amd64 2.20.1-5.3
2013-12-09 21:38:56 status half-installed libuuid1:i386 2.20.1-5.3
2013-12-09 21:38:56 status half-installed libuuid1:i386 2.20.1-5.3
2013-12-09 21:38:57 status unpacked libuuid1:i386 2.20.1-5.5
2013-12-09 21:38:57 status unpacked libuuid1:i386 2.20.1-5.5
2013-12-09 21:38:57 upgrade libuuid1:amd64 2.20.1-5.3 2.20.1-5.5
2013-12-09 21:38:57 status half-configured libuuid1:amd64 2.20.1-5.3
2013-12-09 21:38:57 status unpacked libuuid1:amd64 2.20.1-5.3
2013-12-09 21:38:57 status half-installed libuuid1:amd64 2.20.1-5.3
2013-12-09 21:38:57 status half-installed libuuid1:amd64 2.20.1-5.3
2013-12-09 21:38:57 status unpacked libuuid1:amd64 2.20.1-5.5
2013-12-09 21:38:57 status unpacked libuuid1:amd64 2.20.1-5.5
2013-12-09 21:38:58 startup packages configure
2013-12-09 21:38:58 configure libuuid1:amd64 2.20.1-5.5 <none>
2013-12-09 21:38:58 status unpacked libuuid1:amd64 2.20.1-5.5
2013-12-09 21:38:58 status half-configured libuuid1:amd64 2.20.1-5.5
2013-12-09 21:38:58 status installed libuuid1:amd64 2.20.1-5.5
2013-12-09 21:38:58 status triggers-pending libc-bin:amd64 2.17-97
2013-12-09 21:38:58 configure gcc-4.8-base:i386 4.8.2-8 <none>
2013-12-09 21:38:58 status unpacked gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:58 status half-configured gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:58 status installed gcc-4.8-base:i386 4.8.2-8
2013-12-09 21:38:58 configure libgcc1:i386 1:4.8.2-8 <none>
2013-12-09 21:38:58 status unpacked libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:58 status half-configured libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:58 status installed libgcc1:i386 1:4.8.2-8
2013-12-09 21:38:59 configure libc6:i386 2.17-97 <none>
2013-12-09 21:38:59 status unpacked libc6:i386 2.17-97
2013-12-09 21:38:59 status unpacked libc6:i386 2.17-97
2013-12-09 21:38:59 status half-configured libc6:i386 2.17-97
2013-12-09 21:39:00 status installed libc6:i386 2.17-97
2013-12-09 21:39:01 configure libuuid1:i386 2.20.1-5.5 <none>
2013-12-09 21:39:01 status unpacked libuuid1:i386 2.20.1-5.5
2013-12-09 21:39:01 status half-configured libuuid1:i386 2.20.1-5.5
2013-12-09 21:39:01 status installed libuuid1:i386 2.20.1-5.5
2013-12-09 21:39:01 trigproc libc-bin:amd64 2.17-97 <none>
2013-12-09 21:39:01 status half-configured libc-bin:amd64 2.17-97
2013-12-09 21:39:01 status installed libc-bin:amd64 2.17-97
2013-12-09 21:39:01 startup archives unpack
2013-12-09 21:39:01 install libgeoip1:amd64 <none> 1.6.0-1
2013-12-09 21:39:01 status half-installed libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:02 status unpacked libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:02 status unpacked libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:02 install libxml2:amd64 <none> 2.9.1+dfsg1-3
2013-12-09 21:39:02 status half-installed libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:03 status unpacked libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:03 status unpacked libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:03 install libisc95:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:03 status half-installed libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:03 status unpacked libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:03 status unpacked libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 install libdns99:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 status half-installed libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 status unpacked libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 status unpacked libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 install libisccc90:amd64 <none> 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:04 status half-installed libisccc90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:05 status unpacked libisccc90:amd64 1:9.9.3.dfsg.P2-4
